longitude,latitude,LC,city,dataset,B2,B3,B4,B8,B11,B12,NDVI,EVI,SAVI,NDBI,elevation,slope,aspect,texture_contrast,texture_entropy
-75.57090802384737,6.234263156025273,0,Medellin,training,0.2264,0.2436,0.2414,0.2344,0.2343,0.2264,-0.014712062,-0.017770103342900925,-0.010760400538567482,0.0212937,1482,6.757868,74.14414,347209.75595238095,4.353741458929681
-75.56920122480753,6.235610628951452,0,Medellin,training,0.098,0.1092,0.1666,0.1948,0.2561,0.2464,0.077011466,0.04673787097404068,0.04910610678434259,0.14308812,1489,3.3540707,303.53333,233772.5525793651,4.34961558285492
-75.58357426935345,6.233813998383213,0,Medellin,training,0.0764,0.0938,0.1126,0.148,0.192,0.1886,0.112605065,0.05616095257569429,0.05447155778232117,0.18372378,1484,3.8397968,103.9565,30001.997023809516,4.34961558285492
-75.58132848114315,6.230490231831971,0,Medellin,training,0.058,0.0631,0.0588,0.116,0.1677,0.1693,0.302994,0.12365591188911501,0.11379310229272906,0.18223476,1477,2.9321687,198.53702,70560.89980158731,4.353741458929681
-75.58447258463757,6.228783432792144,0,Medellin,training,0.0936,0.0996,0.1166,0.147,0.2128,0.2254,0.115326256,0.06537072212033686,0.059717130452787565,0.19148935,1486,0.92740995,180.0,97179.68551587299,4.353741458929681
-75.57279448594402,6.228873264320556,0,Medellin,training,0.1252,0.1366,0.1466,0.1716,0.2322,0.2506,0.06324115,0.04359279973472792,0.03583874837069542,0.1500743,1482,3.354041,236.46634,32915.944444444445,4.353741458929681
-75.5577027891708,6.2357004604798645,0,Medellin,training,0.1128,0.1158,0.1484,0.1724,0.2201,0.215,0.08975981,0.05964382739417532,0.0521803114992503,0.12152867,1603,9.644056,286.6059,104245.4970238095,4.3365503086181745
-75.56102655572205,6.237946248690164,0,Medellin,training,0.1074,0.1268,0.1332,0.2032,0.2175,0.2168,0.21739127,0.15471050424423904,0.1341807731489214,0.03399097,1548,7.9151435,69.55557,75543.02678571426,4.345489706780159
-75.56003840890952,6.232017367814974,0,Medellin,training,0.0964,0.1018,0.1344,0.1684,0.2509,0.2422,0.10895605,0.07136983395356339,0.06736419727133217,0.16655949,1664,10.31639,280.24524,80249.73214285716,4.353741458929681
-75.55428919109116,6.233993661440037,0,Medellin,training,0.0842,0.1024,0.12,0.182,0.2156,0.1827,0.20529802,0.1254045307025894,0.11596009877760591,0.084507056,1638,3.8198156,14.116406,101413.14980158732,4.353741458929681
